x,u
3.906250e-03,1.227169e-02
7.812500e-03,2.454154e-02
1.171875e-02,3.680768e-02
1.562500e-02,4.906829e-02
1.953125e-02,6.132151e-02
2.343750e-02,7.356549e-02
2.734375e-02,8.579839e-02
3.125000e-02,9.801837e-02
3.515625e-02,1.102236e-01
3.906250e-02,1.224122e-01
4.296875e-02,1.345824e-01
4.687500e-02,1.467323e-01
5.078125e-02,1.588601e-01
5.468750e-02,1.709640e-01
5.859375e-02,1.830422e-01
6.250000e-02,1.950928e-01
6.640625e-02,2.071140e-01
7.031250e-02,2.191040e-01
7.421875e-02,2.310610e-01
7.812500e-02,2.429832e-01
8.203125e-02,2.548689e-01
8.593750e-02,2.667161e-01
8.984375e-02,2.785232e-01
9.375000e-02,2.902883e-01
9.765625e-02,3.020097e-01
1.015625e-01,3.136857e-01
1.054688e-01,3.253144e-01
1.093750e-01,3.368941e-01
1.132812e-01,3.484230e-01
1.171875e-01,3.598995e-01
1.210938e-01,3.713219e-01
1.250000e-01,3.826882e-01
1.289062e-01,3.939970e-01
1.328125e-01,4.052464e-01
1.367188e-01,4.164348e-01
1.406250e-01,4.275605e-01
1.445312e-01,4.386217e-01
1.484375e-01,4.496170e-01
1.523438e-01,4.605445e-01
1.562500e-01,4.714026e-01
1.601562e-01,4.821898e-01
1.640625e-01,4.929044e-01
1.679688e-01,5.035447e-01
1.718750e-01,5.141092e-01
1.757812e-01,5.245963e-01
1.796875e-01,5.350043e-01
1.835938e-01,5.453318e-01
1.875000e-01,5.555772e-01
1.914062e-01,5.657389e-01
1.953125e-01,5.758154e-01
1.992188e-01,5.858052e-01
2.031250e-01,5.957068e-01
2.070312e-01,6.055186e-01
2.109375e-01,6.152393e-01
2.148438e-01,6.248673e-01
2.187500e-01,6.344012e-01
2.226562e-01,6.438396e-01
2.265625e-01,6.531810e-01
2.304688e-01,6.624241e-01
2.343750e-01,6.715674e-01
2.382812e-01,6.806095e-01
2.421875e-01,6.895492e-01
2.460938e-01,6.983850e-01
2.500000e-01,7.071157e-01
2.539062e-01,7.157398e-01
2.578125e-01,7.242562e-01
2.617188e-01,7.326635e-01
2.656250e-01,7.409604e-01
2.695312e-01,7.491458e-01
2.734375e-01,7.572183e-01
2.773438e-01,7.651769e-01
2.812500e-01,7.730202e-01
2.851562e-01,7.807470e-01
2.890625e-01,7.883563e-01
2.929688e-01,7.958469e-01
2.968750e-01,8.032176e-01
3.007812e-01,8.104674e-01
3.046875e-01,8.175951e-01
3.085938e-01,8.245997e-01
3.125000e-01,8.314800e-01
3.164062e-01,8.382352e-01
3.203125e-01,8.448642e-01
3.242188e-01,8.513659e-01
3.281250e-01,8.577394e-01
3.320312e-01,8.639837e-01
3.359375e-01,8.700979e-01
3.398438e-01,8.760811e-01
3.437500e-01,8.819323e-01
3.476562e-01,8.876508e-01
3.515625e-01,8.932355e-01
3.554688e-01,8.986857e-01
3.593750e-01,9.040006e-01
3.632812e-01,9.091794e-01
3.671875e-01,9.142212e-01
3.710938e-01,9.191254e-01
3.750000e-01,9.238911e-01
3.789062e-01,9.285177e-01
3.828125e-01,9.330045e-01
3.867188e-01,9.373508e-01
3.906250e-01,9.415559e-01
3.945312e-01,9.456192e-01
3.984375e-01,9.495401e-01
4.023438e-01,9.533180e-01
4.062500e-01,9.569523e-01
4.101562e-01,9.604426e-01
4.140625e-01,9.637882e-01
4.179688e-01,9.669886e-01
4.218750e-01,9.700434e-01
4.257812e-01,9.729522e-01
4.296875e-01,9.757144e-01
4.335938e-01,9.783297e-01
4.375000e-01,9.807976e-01
4.414062e-01,9.831178e-01
4.453125e-01,9.852900e-01
4.492188e-01,9.873138e-01
4.531250e-01,9.891889e-01
4.570312e-01,9.909151e-01
4.609375e-01,9.924920e-01
4.648438e-01,9.939194e-01
4.687500e-01,9.951972e-01
4.726562e-01,9.963251e-01
4.765625e-01,9.973030e-01
4.804688e-01,9.981306e-01
4.843750e-01,9.988080e-01
4.882812e-01,9.993349e-01
4.921875e-01,9.997114e-01
4.960938e-01,9.999373e-01
5.000000e-01,1.000013e+00
5.039062e-01,9.999373e-01
5.078125e-01,9.997114e-01
5.117188e-01,9.993349e-01
5.156250e-01,9.988080e-01
5.195312e-01,9.981306e-01
5.234375e-01,9.973030e-01
5.273438e-01,9.963251e-01
5.312500e-01,9.951972e-01
5.351562e-01,9.939194e-01
5.390625e-01,9.924920e-01
5.429688e-01,9.909151e-01
5.468750e-01,9.891889e-01
5.507812e-01,9.873138e-01
5.546875e-01,9.852900e-01
5.585938e-01,9.831178e-01
5.625000e-01,9.807976e-01
5.664062e-01,9.783296e-01
5.703125e-01,9.757144e-01
5.742188e-01,9.729522e-01
5.781250e-01,9.700434e-01
5.820312e-01,9.669886e-01
5.859375e-01,9.637882e-01
5.898438e-01,9.604426e-01
5.937500e-01,9.569523e-01
5.976562e-01,9.533180e-01
6.015625e-01,9.495401e-01
6.054688e-01,9.456192e-01
6.093750e-01,9.415559e-01
6.132812e-01,9.373508e-01
6.171875e-01,9.330045e-01
6.210938e-01,9.285177e-01
6.250000e-01,9.238911e-01
6.289062e-01,9.191254e-01
6.328125e-01,9.142212e-01
6.367188e-01,9.091794e-01
6.406250e-01,9.040006e-01
6.445312e-01,8.986857e-01
6.484375e-01,8.932355e-01
6.523438e-01,8.876508e-01
6.562500e-01,8.819323e-01
6.601562e-01,8.760811e-01
6.640625e-01,8.700979e-01
6.679688e-01,8.639837e-01
6.718750e-01,8.577394e-01
6.757812e-01,8.513659e-01
6.796875e-01,8.448642e-01
6.835938e-01,8.382352e-01
6.875000e-01,8.314800e-01
6.914062e-01,8.245997e-01
6.953125e-01,8.175951e-01
6.992188e-01,8.104674e-01
7.031250e-01,8.032176e-01
7.070312e-01,7.958469e-01
7.109375e-01,7.883563e-01
7.148438e-01,7.807470e-01
7.187500e-01,7.730202e-01
7.226562e-01,7.651769e-01
7.265625e-01,7.572183e-01
7.304688e-01,7.491458e-01
7.343750e-01,7.409604e-01
7.382812e-01,7.326635e-01
7.421875e-01,7.242562e-01
7.460938e-01,7.157398e-01
7.500000e-01,7.071157e-01
7.539062e-01,6.983850e-01
7.578125e-01,6.895492e-01
7.617188e-01,6.806095e-01
7.656250e-01,6.715674e-01
7.695312e-01,6.624241e-01
7.734375e-01,6.531810e-01
7.773438e-01,6.438396e-01
7.812500e-01,6.344012e-01
7.851562e-01,6.248673e-01
7.890625e-01,6.152393e-01
7.929688e-01,6.055186e-01
7.968750e-01,5.957068e-01
8.007812e-01,5.858052e-01
8.046875e-01,5.758154e-01
8.085938e-01,5.657389e-01
8.125000e-01,5.555772e-01
8.164062e-01,5.453318e-01
8.203125e-01,5.350043e-01
8.242188e-01,5.245963e-01
8.281250e-01,5.141092e-01
8.320312e-01,5.035447e-01
8.359375e-01,4.929044e-01
8.398438e-01,4.821898e-01
8.437500e-01,4.714026e-01
8.476562e-01,4.605445e-01
8.515625e-01,4.496170e-01
8.554688e-01,4.386217e-01
8.593750e-01,4.275605e-01
8.632812e-01,4.164348e-01
8.671875e-01,4.052464e-01
8.710938e-01,3.939970e-01
8.750000e-01,3.826882e-01
8.789062e-01,3.713219e-01
8.828125e-01,3.598995e-01
8.867188e-01,3.484230e-01
8.906250e-01,3.368941e-01
8.945312e-01,3.253144e-01
8.984375e-01,3.136857e-01
9.023438e-01,3.020097e-01
9.062500e-01,2.902883e-01
9.101562e-01,2.785232e-01
9.140625e-01,2.667161e-01
9.179688e-01,2.548689e-01
9.218750e-01,2.429832e-01
9.257812e-01,2.310610e-01
9.296875e-01,2.191040e-01
9.335938e-01,2.071140e-01
9.375000e-01,1.950928e-01
9.414062e-01,1.830422e-01
9.453125e-01,1.709640e-01
9.492188e-01,1.588601e-01
9.531250e-01,1.467323e-01
9.570312e-01,1.345824e-01
9.609375e-01,1.224122e-01
9.648438e-01,1.102236e-01
9.687500e-01,9.801837e-02
9.726562e-01,8.579839e-02
9.765625e-01,7.356549e-02
9.804688e-01,6.132151e-02
9.843750e-01,4.906829e-02
9.882812e-01,3.680768e-02
9.921875e-01,2.454154e-02
9.960938e-01,1.227169e-02
